OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4030,2022-053AU,2026-09-20T20:33:14.128128,15.34379159,.0001167,53.1623,345.8645,85.0492,275.0644,0,U,52698,999,24063,.12803147E-3,.3949E-4,0
STARLINK-3987,2022-053AV,2026-09-20T11:23:05.154144,15.34396006,.00010443,53.1604,329.5823,80.6098,279.5023,0,U,52699,999,24085,.44374552E-4,.1123E-4,0
STARLINK-4034,2022-053AW,2026-09-20T22:28:15.755808,15.34400118,.00010299,53.1608,345.7362,66.1225,293.9885,0,U,52700,999,24065,.4102149E-4,.101E-4,0
STARLINK-4033,2022-053AY,2026-09-20T22:13:07.180320,15.34389706,.00010776,53.1604,345.7426,89.9317,270.1810,0,U,52702,999,24065,.45203811E-4,.1151E-4,0
STARLINK-4020,2022-053AZ,2026-09-20T10:53:39.895872,15.35400199,.00014586,53.1619,326.1724,85.4061,274.7109,0,U,52703,999,23962,.4611638E-5,-.22E-5,0
STARLINK-3999,2022-053BA,2026-09-20T21:09:34.357824,15.35397665,.00011585,53.1601,325.1026,86.3983,273.7152,0,U,52704,999,24095,.19705775E-4,.307E-5,0
STARLINK-3844,2022-053BB,2026-09-20T11:44:29.545440,15.35397960,.00013544,53.1602,325.6303,83.5574,276.5583,0,U,52705,999,24091,.6499965E-5,-.154E-5,0
STARLINK-3970,2022-053BC,2026-09-20T10:56:08.892672,15.35408585,.00012779,53.1613,326.0911,74.3201,285.7943,0,U,52706,999,24090,-.19725308E-4,-.1069E-4,0
STARLINK-4007,2022-053BD,2026-09-20T10:18:10.744128,15.13484217,.00018997,53.2170,337.2439,49.6683,310.4477,0,U,52707,999,24081,.58563064E-3,.10315E-3,0
STARLINK-3962,2022-053BE,2026-09-20T11:25:33.792384,15.35400488,.00011002,53.1607,325.9739,80.6921,279.4206,0,U,52708,999,24111,.24861266E-4,.487E-5,0
COSMOS 2556,2022-054A,2026-09-20T22:36:55.838880,15.26492418,.00022831,97.6384,215.6864,97.4491,262.7006,0,U,52713,999,24134,.65953988E-4,.1644E-4,0
